rank,team_name,elo_rating,matches_played
1,France,1949.95,198
2,Germany,1895.7,222
3,Netherlands,1891.469,198
4,Spain,1873.565,198
5,Japan,1864.104,178
6,Argentina,1857.149,259
7,England,1851.477,201
8,Belgium,1835.195,200
9,Croatia,1833.646,110
10,Morocco,1802.631,149
11,Mexico,1801.094,220
12,Australia,1798.731,191
13,Iran,1797.978,179
14,Brazil,1793.416,259
15,South Korea,1791.465,205
16,Switzerland,1775.62,187
17,Portugal,1764.033,190
18,Tunisia,1755.763,140
19,United States,1751.429,173
20,Ecuador,1749.083,192
21,Uzbekistan,1747.109,118
22,Senegal,1744.516,93
23,New Zealand,1733.504,91
24,Costa Rica,1729.166,184
25,Uruguay,1725.67,249
26,Turkey,1713.709,157
27,Egypt,1712.548,118
28,Colombia,1709.887,210
29,Yugoslavia,1707.578,99
30,Panama,1705.975,109
31,Ivory Coast,1705.609,104
32,Iraq,1704.127,143
33,Denmark,1700.973,163
34,Saudi Arabia,1694.564,173
35,Italy,1688.081,211
36,Russia,1687.715,170
37,Paraguay,1685.343,217
38,Ghana,1681.256,116
39,Poland,1680.151,175
40,DR Congo,1679.21,100
41,Canada,1672.802,109
42,Sweden,1666.318,200
43,Algeria,1665.808,120
44,Scotland,1661.762,162
45,Norway,1661.574,152
46,Ukraine,1658.005,92
47,Cameroon,1647.937,132
48,Jordan,1645.733,94
49,Burkina Faso,1643.321,76
50,Nigeria,1643.155,145
51,Czechoslovakia,1640.279,101
52,Guatemala,1633.377,95
53,United Arab Emirates,1627.169,139
54,Qatar,1627.112,141
55,Serbia,1624.745,94
56,Greece,1616.62,152
57,Wales,1610.174,144
58,Cape Verde,1607.783,50
59,Jamaica,1606.276,127
60,Republic of Ireland,1604.352,169
61,Bosnia and Herzegovina,1604.057,79
62,Haiti,1602.367,74
63,Czech Republic,1593.856,88
64,Honduras,1588.527,150
65,Mali,1586.622,58
66,Syria,1586.107,107
67,Gabon,1585.562,74
68,Curaçao,1585.037,59
69,Austria,1584.291,171
70,Oman,1578.006,106
71,South Africa,1574.747,75
72,Bolivia,1569.63,194
73,Slovakia,1567.96,85
74,Trinidad and Tobago,1566.071,118
