clean_match_id,match_date_utc,competition_code,season,team_a_name,team_b_name,result_1x2,team_a_elo_before,team_b_elo_before,elo_gap_before,team_a_elo_after,team_b_elo_after,k_factor,host_advantage_side,is_neutral_venue
1,1930-07-13T00:00:00+01:00,WC,1930,Belgium,United States,TEAM_B_WIN,1500.0,1500.0,0.0,1470.0,1530.0,60.0,NONE,True
2,1930-07-13T00:00:00+01:00,WC,1930,France,Mexico,TEAM_A_WIN,1500.0,1500.0,0.0,1530.0,1470.0,60.0,NONE,True
3,1930-07-14T00:00:00+01:00,WC,1930,Brazil,Yugoslavia,TEAM_B_WIN,1500.0,1500.0,0.0,1470.0,1530.0,60.0,NONE,True
4,1930-07-14T00:00:00+01:00,WC,1930,Peru,Romania,TEAM_B_WIN,1500.0,1500.0,0.0,1470.0,1530.0,60.0,NONE,True
5,1930-07-15T00:00:00+01:00,WC,1930,Argentina,France,TEAM_A_WIN,1500.0,1530.0,-30.0,1532.584,1497.416,60.0,NONE,True
6,1930-07-16T00:00:00+01:00,WC,1930,Chile,Mexico,TEAM_A_WIN,1500.0,1470.0,30.0,1527.416,1442.584,60.0,NONE,True
7,1930-07-17T00:00:00+01:00,WC,1930,Bolivia,Yugoslavia,TEAM_B_WIN,1500.0,1530.0,-30.0,1472.584,1557.416,60.0,NONE,True
8,1930-07-17T00:00:00+01:00,WC,1930,Paraguay,United States,TEAM_B_WIN,1500.0,1530.0,-30.0,1472.584,1557.416,60.0,NONE,True
9,1930-07-18T00:00:00+01:00,WC,1930,Uruguay,Peru,TEAM_A_WIN,1500.0,1470.0,30.0,1523.212,1446.788,60.0,TEAM_A,False
10,1930-07-19T00:00:00+01:00,WC,1930,Argentina,Mexico,TEAM_A_WIN,1532.584,1442.584,90.0,1554.982,1420.186,60.0,NONE,True
11,1930-07-19T00:00:00+01:00,WC,1930,Chile,France,TEAM_A_WIN,1527.416,1497.416,30.0,1554.832,1470.0,60.0,NONE,True
12,1930-07-20T00:00:00+01:00,WC,1930,Belgium,Paraguay,TEAM_B_WIN,1470.0,1472.584,-2.584,1440.223,1502.361,60.0,NONE,True
13,1930-07-20T00:00:00+01:00,WC,1930,Bolivia,Brazil,TEAM_B_WIN,1472.584,1470.0,2.584,1442.361,1500.223,60.0,NONE,True
