clean_match_id,match_date_utc,competition_code,season,team_a_name,team_b_name,home_form_points_last_5,away_form_points_last_5,home_form_points_last_10,away_form_points_last_10,home_goals_scored_avg_last_10,away_goals_scored_avg_last_10,home_goals_conceded_avg_last_10,away_goals_conceded_avg_last_10,elo_gap,is_neutral_venue,host_advantage_side,is_group_stage,is_knockout_stage,target_result
1,1930-07-13T00:00:00+01:00,WC,1930,Belgium,United States,0,0,0,0,,,,,0.0,True,NONE,False,False,TEAM_B_WIN
2,1930-07-13T00:00:00+01:00,WC,1930,France,Mexico,0,0,0,0,,,,,0.0,True,NONE,False,False,TEAM_A_WIN
3,1930-07-14T00:00:00+01:00,WC,1930,Brazil,Yugoslavia,0,0,0,0,,,,,0.0,True,NONE,False,False,TEAM_B_WIN
4,1930-07-14T00:00:00+01:00,WC,1930,Peru,Romania,0,0,0,0,,,,,0.0,True,NONE,False,False,TEAM_B_WIN
5,1930-07-15T00:00:00+01:00,WC,1930,Argentina,France,0,3,0,3,,4.0,,1.0,-30.0,True,NONE,False,False,TEAM_A_WIN
6,1930-07-16T00:00:00+01:00,WC,1930,Chile,Mexico,0,0,0,0,,1.0,,4.0,30.0,True,NONE,False,False,TEAM_A_WIN
7,1930-07-17T00:00:00+01:00,WC,1930,Bolivia,Yugoslavia,0,3,0,3,,2.0,,1.0,-30.0,True,NONE,False,False,TEAM_B_WIN
8,1930-07-17T00:00:00+01:00,WC,1930,Paraguay,United States,0,3,0,3,,3.0,,0.0,-30.0,True,NONE,False,False,TEAM_B_WIN
9,1930-07-18T00:00:00+01:00,WC,1930,Uruguay,Peru,0,0,0,0,,1.0,,3.0,30.0,False,TEAM_A,False,False,TEAM_A_WIN
10,1930-07-19T00:00:00+01:00,WC,1930,Argentina,Mexico,3,0,3,0,1.0,0.5,0.0,3.5,90.0,True,NONE,False,False,TEAM_A_WIN
11,1930-07-19T00:00:00+01:00,WC,1930,Chile,France,3,3,3,3,3.0,2.0,0.0,1.0,30.0,True,NONE,False,False,TEAM_A_WIN
12,1930-07-20T00:00:00+01:00,WC,1930,Belgium,Paraguay,0,0,0,0,0.0,0.0,3.0,3.0,-2.584,True,NONE,False,False,TEAM_B_WIN
13,1930-07-20T00:00:00+01:00,WC,1930,Bolivia,Brazil,0,0,0,0,0.0,1.0,4.0,2.0,2.584,True,NONE,False,False,TEAM_B_WIN
14,1930-07-21T00:00:00+01:00,WC,1930,Uruguay,Romania,3,3,3,3,1.0,3.0,0.0,1.0,-6.788,False,TEAM_A,False,False,TEAM_A_WIN
15,1930-07-22T00:00:00+01:00,WC,1930,Argentina,Chile,6,6,6,6,3.5,2.0,1.5,0.0,0.15,True,NONE,False,False,TEAM_A_WIN
16,1930-07-26T00:00:00+01:00,WC,1930,Argentina,United States,9,6,9,6,3.333,3.0,1.333,0.0,27.553,True,NONE,False,False,TEAM_A_WIN
17,1930-07-27T00:00:00+01:00,WC,1930,Uruguay,Yugoslavia,6,6,6,6,2.5,3.0,0.0,0.5,-7.916,False,TEAM_A,False,False,TEAM_A_WIN
18,1930-07-30T00:00:00+01:00,WC,1930,Uruguay,Argentina,9,12,9,12,3.667,4.0,0.333,1.25,-36.711,False,TEAM_A,False,False,TEAM_A_WIN
19,1933-06-11T00:00:00+01:00,WCQ,1933,Sweden,Estonia,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_A_WIN
20,1933-06-29T00:00:00+01:00,WCQ,1933,Lithuania,Sweden,0,3,0,3,,6.0,,2.0,-17.141,False,TEAM_A,False,False,TEAM_B_WIN
21,1933-09-24T00:00:00+01:00,WCQ,1933,Yugoslavia,Switzerland,6,0,6,0,2.333,,2.333,,31.032,False,TEAM_A,False,False,DRAW
22,1933-10-15T00:00:00+00:00,WCQ,1933,Poland,Czechoslovakia,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_B_WIN
23,1933-10-29T00:00:00+00:00,WCQ,1933,Switzerland,Romania,1,3,1,3,2.0,1.5,2.0,2.5,0.87,False,TEAM_A,False,False,DRAW
24,1934-01-28T00:00:00+00:00,WCQ,1934,Haiti,Cuba,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_B_WIN
25,1934-02-01T00:00:00+00:00,WCQ,1934,Haiti,Cuba,0,3,0,3,1.0,3.0,3.0,1.0,-45.718,False,TEAM_A,False,False,DRAW
26,1934-02-04T00:00:00+00:00,WCQ,1934,Haiti,Cuba,1,4,1,4,1.0,2.0,2.0,1.0,-46.21,False,TEAM_A,False,False,TEAM_B_WIN
27,1934-02-25T00:00:00+00:00,WCQ,1934,Republic of Ireland,Belgium,0,0,0,0,,0.0,,2.0,59.777,True,NONE,False,False,DRAW
28,1934-03-04T00:00:00+00:00,WCQ,1934,Mexico,Cuba,0,7,0,7,1.333,3.333,4.333,0.667,-123.137,False,TEAM_A,False,False,TEAM_A_WIN
29,1934-03-11T00:00:00+00:00,WCQ,1934,Luxembourg,Germany,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_B_WIN
30,1934-03-11T00:00:00+00:00,WCQ,1934,Mexico,Cuba,3,7,3,7,1.75,3.0,3.75,1.25,-74.839,False,TEAM_A,False,False,TEAM_A_WIN
31,1934-03-11T00:00:00+00:00,WCQ,1934,Spain,Portugal,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_A_WIN
32,1934-03-16T00:00:00+00:00,WCQ,1934,Egypt,Israel,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_A_WIN
33,1934-03-18T00:00:00+00:00,WCQ,1934,Mexico,Cuba,6,7,6,7,2.4,2.4,3.0,2.0,-31.985,False,TEAM_A,False,False,TEAM_A_WIN
34,1934-03-18T00:00:00+00:00,WCQ,1934,Portugal,Spain,0,3,0,3,0.0,9.0,9.0,0.0,-34.282,False,TEAM_A,False,False,TEAM_B_WIN
35,1934-03-25T00:00:00+00:00,WCQ,1934,Bulgaria,Hungary,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_B_WIN
36,1934-03-25T00:00:00+00:00,WCQ,1934,Italy,Greece,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_A_WIN
37,1934-04-06T00:00:00+00:00,WCQ,1934,Israel,Egypt,0,3,0,3,1.0,7.0,7.0,1.0,-34.282,False,NONE,False,False,TEAM_B_WIN
38,1934-04-08T00:00:00+01:00,WCQ,1934,Netherlands,Republic of Ireland,0,1,0,1,,4.0,,4.0,3.407,False,TEAM_A,False,False,TEAM_A_WIN
39,1934-04-15T00:00:00+01:00,WCQ,1934,Luxembourg,France,0,3,0,3,1.0,1.333,9.0,1.0,7.141,False,TEAM_A,False,False,TEAM_B_WIN
40,1934-04-25T00:00:00+01:00,WCQ,1934,Austria,Bulgaria,0,0,0,0,,1.0,,4.0,22.859,False,TEAM_A,False,False,TEAM_A_WIN
41,1934-04-29T00:00:00+01:00,WCQ,1934,Hungary,Bulgaria,3,0,3,0,4.0,1.0,1.0,5.0,61.584,False,TEAM_A,False,False,TEAM_A_WIN
42,1934-04-29T00:00:00+01:00,WCQ,1934,Belgium,Netherlands,1,3,1,3,1.333,5.0,2.667,2.0,-73.319,False,TEAM_A,False,False,TEAM_B_WIN
43,1934-04-29T00:00:00+01:00,WCQ,1934,Romania,Yugoslavia,4,7,4,7,1.667,2.25,2.333,2.25,-19.83,False,TEAM_A,False,False,TEAM_A_WIN
44,1934-05-24T00:00:00+01:00,WCQ,1934,Mexico,United States,9,6,9,6,2.667,2.333,2.667,2.0,-45.064,True,NONE,False,False,TEAM_B_WIN
45,1934-05-27T00:00:00+01:00,WC,1934,Argentina,Sweden,12,6,12,6,3.6,4.0,1.8,1.0,44.715,True,NONE,False,False,TEAM_B_WIN
46,1934-05-27T00:00:00+01:00,WC,1934,Austria,France,3,6,3,6,6.0,2.5,1.0,1.0,22.606,True,NONE,False,False,TEAM_A_WIN
47,1934-05-27T00:00:00+01:00,WC,1934,Belgium,Germany,1,3,1,3,1.5,9.0,3.0,1.0,-97.888,True,NONE,False,False,TEAM_B_WIN
48,1934-05-27T00:00:00+01:00,WC,1934,Brazil,Spain,3,6,3,6,2.5,5.5,1.0,0.5,-37.823,True,NONE,False,False,TEAM_B_WIN
49,1934-05-27T00:00:00+01:00,WC,1934,Czechoslovakia,Romania,3,7,3,7,2.0,1.75,1.0,2.0,-2.028,True,NONE,False,False,TEAM_A_WIN
50,1934-05-27T00:00:00+01:00,WC,1934,Egypt,Hungary,6,6,6,6,5.5,4.0,1.0,1.0,-1.473,True,NONE,False,False,TEAM_B_WIN
51,1934-05-27T00:00:00+01:00,WC,1934,Italy,United States,3,9,3,9,4.0,2.75,0.0,2.0,-30.07,False,TEAM_A,False,False,TEAM_A_WIN
52,1934-05-27T00:00:00+01:00,WC,1934,Netherlands,Switzerland,6,2,6,2,4.5,2.0,2.0,2.0,33.935,True,NONE,False,False,TEAM_B_WIN
53,1934-05-31T00:00:00+01:00,WC,1934,Austria,Hungary,6,9,6,9,4.5,4.0,1.5,1.333,-22.603,True,NONE,False,False,TEAM_A_WIN
54,1934-05-31T00:00:00+01:00,WC,1934,Czechoslovakia,Switzerland,6,5,6,5,2.0,2.333,1.0,2.0,18.439,True,NONE,False,False,TEAM_A_WIN
55,1934-05-31T00:00:00+01:00,WC,1934,Germany,Sweden,6,9,6,9,7.0,3.667,1.5,1.333,-28.244,True,NONE,False,False,TEAM_A_WIN
56,1934-05-31T00:00:00+01:00,WC,1934,Italy,Spain,6,9,6,9,5.5,4.667,0.5,0.667,-19.371,False,TEAM_A,False,False,DRAW
57,1934-06-01T00:00:00+01:00,WC,1934,Italy,Spain,7,10,7,10,4.0,3.75,0.667,0.75,-24.647,False,TEAM_A,False,False,TEAM_A_WIN
58,1934-06-03T00:00:00+01:00,WC,1934,Czechoslovakia,Germany,9,9,9,9,2.333,5.333,1.333,1.333,4.387,True,NONE,False,False,TEAM_A_WIN
59,1934-06-03T00:00:00+01:00,WC,1934,Italy,Austria,10,9,10,9,3.25,3.667,0.5,1.333,-5.267,False,TEAM_A,False,False,TEAM_A_WIN
60,1934-06-07T00:00:00+01:00,WC,1934,Austria,Germany,9,9,9,9,2.75,4.25,1.25,1.75,2.272,True,NONE,False,False,TEAM_B_WIN
61,1934-06-10T00:00:00+01:00,WC,1934,Italy,Czechoslovakia,13,12,13,12,2.8,2.5,0.4,1.25,-14.306,False,TEAM_A,False,False,TEAM_A_WIN
62,1937-06-16T00:00:00+01:00,WCQ,1937,Sweden,Finland,9,0,9,0,3.0,,1.5,,40.434,False,TEAM_A,False,False,TEAM_A_WIN
63,1937-06-20T00:00:00+01:00,WCQ,1937,Sweden,Estonia,12,0,12,0,3.2,2.0,1.2,6.0,72.483,False,TEAM_A,False,False,TEAM_A_WIN
64,1937-06-29T00:00:00+01:00,WCQ,1937,Finland,Germany,0,12,0,12,0.0,4.0,4.0,1.8,-92.54,False,TEAM_A,False,False,TEAM_B_WIN
65,1937-07-29T00:00:00+01:00,WCQ,1937,Latvia,Lithuania,0,0,0,0,,0.0,,2.0,21.886,False,TEAM_A,False,False,TEAM_A_WIN
66,1937-08-19T00:00:00+01:00,WCQ,1937,Finland,Estonia,0,0,0,0,0.0,2.0,3.0,6.5,-2.103,False,TEAM_A,False,False,TEAM_B_WIN
67,1937-08-29T00:00:00+01:00,WCQ,1937,Germany,Estonia,12,3,15,3,3.667,1.667,1.5,4.333,102.824,False,TEAM_A,False,False,TEAM_A_WIN
68,1937-09-03T00:00:00+01:00,WCQ,1937,Lithuania,Latvia,0,3,0,3,1.0,4.0,3.0,2.0,-53.726,False,TEAM_A,False,False,TEAM_B_WIN
69,1937-10-05T00:00:00+00:00,WCQ,1937,Austria,Latvia,9,6,9,6,2.6,4.5,1.6,1.5,-16.195,False,TEAM_A,False,False,TEAM_A_WIN
70,1937-10-10T00:00:00+00:00,WCQ,1937,Norway,Republic of Ireland,0,1,0,1,,3.0,,4.5,20.357,False,TEAM_A,False,False,TEAM_A_WIN
71,1937-10-10T00:00:00+00:00,WCQ,1937,Poland,Yugoslavia,0,7,0,7,1.0,2.0,2.0,2.2,-31.042,False,TEAM_A,False,False,TEAM_A_WIN
72,1937-11-07T00:00:00+00:00,WCQ,1937,Bulgaria,Czechoslovakia,0,12,0,12,1.0,2.2,4.667,1.4,-136.65,False,TEAM_A,False,False,DRAW
73,1937-11-07T00:00:00+00:00,WCQ,1937,Republic of Ireland,Norway,1,3,1,3,2.667,3.0,4.0,2.0,-52.365,True,NONE,False,False,DRAW
74,1937-11-21T00:00:00+00:00,WCQ,1937,Germany,Sweden,12,12,18,15,3.714,3.833,1.429,1.333,38.354,False,TEAM_A,False,False,TEAM_A_WIN
75,1937-11-28T00:00:00+00:00,WCQ,1937,Netherlands,Luxembourg,6,0,6,0,3.667,1.0,2.333,7.5,48.807,False,TEAM_A,False,False,TEAM_A_WIN
76,1938-01-22T00:00:00+00:00,WCQ,1938,Israel,Greece,0,0,0,0,1.0,0.0,5.5,4.0,-18.033,False,NONE,False,False,TEAM_B_WIN
77,1938-02-20T00:00:00+00:00,WCQ,1938,Greece,Israel,3,0,3,0,1.5,1.0,2.5,4.667,55.958,False,TEAM_A,False,False,TEAM_A_WIN
78,1938-03-13T00:00:00+00:00,WCQ,1938,Luxembourg,Belgium,0,1,0,1,0.667,1.6,6.333,3.4,36.215,False,TEAM_A,False,False,TEAM_B_WIN
79,1938-03-25T00:00:00+00:00,WCQ,1938,Hungary,Greece,9,6,9,6,3.25,1.333,1.5,1.667,18.667,False,TEAM_A,False,False,TEAM_A_WIN
80,1938-04-03T00:00:00+01:00,WCQ,1938,Belgium,Netherlands,4,9,4,9,1.833,3.75,3.167,1.75,-89.079,False,TEAM_A,False,False,DRAW
81,1938-04-03T00:00:00+01:00,WCQ,1938,Yugoslavia,Poland,4,3,7,3,1.667,2.5,2.5,1.0,-6.778,False,TEAM_A,False,False,TEAM_A_WIN
82,1938-04-24T00:00:00+01:00,WCQ,1938,Czechoslovakia,Bulgaria,10,1,13,1,2.0,1.0,1.333,3.75,126.876,False,TEAM_A,False,False,TEAM_A_WIN
83,1938-05-01T00:00:00+01:00,WCQ,1938,Switzerland,Portugal,5,0,5,0,2.25,0.5,2.25,5.5,44.232,True,NONE,False,False,TEAM_A_WIN
84,1938-06-04T00:00:00+01:00,WC,1938,Germany,Switzerland,12,8,21,8,3.875,2.2,1.25,2.0,98.292,True,NONE,False,False,DRAW
85,1938-06-05T00:00:00+01:00,WC,1938,Brazil,Poland,3,3,3,3,2.0,1.667,1.667,1.0,-5.05,True,NONE,False,False,TEAM_A_WIN
86,1938-06-05T00:00:00+01:00,WC,1938,Cuba,Romania,4,7,7,7,2.167,1.6,2.333,2.0,-15.929,True,NONE,False,False,DRAW
87,1938-06-05T00:00:00+01:00,WC,1938,Czechoslovakia,Netherlands,10,10,16,10,2.571,3.2,1.143,1.6,74.955,True,NONE,False,False,TEAM_A_WIN
88,1938-06-05T00:00:00+01:00,WC,1938,France,Belgium,6,5,6,5,2.4,1.714,1.4,2.857,34.899,False,TEAM_A,False,False,TEAM_A_WIN
89,1938-06-05T00:00:00+01:00,WC,1938,Hungary,Indonesia,12,0,12,0,4.8,,1.4,,50.669,True,NONE,False,False,TEAM_A_WIN
90,1938-06-05T00:00:00+01:00,WC,1938,Italy,Norway,13,4,16,4,2.667,3.0,0.5,2.5,110.673,True,NONE,False,False,TEAM_A_WIN
91,1938-06-09T00:00:00+01:00,WC,1938,Cuba,Romania,4,5,8,8,2.286,1.833,2.429,2.167,-13.181,True,NONE,False,False,TEAM_A_WIN
92,1938-06-09T00:00:00+01:00,WC,1938,Germany,Switzerland,13,8,22,9,3.556,2.0,1.222,1.833,81.756,True,NONE,False,False,TEAM_B_WIN
93,1938-06-12T00:00:00+01:00,WC,1938,Brazil,Czechoslovakia,6,10,6,19,3.0,2.625,2.5,1.0,-109.578,True,NONE,False,False,DRAW
94,1938-06-12T00:00:00+01:00,WC,1938,Cuba,Sweden,4,9,11,15,2.25,3.286,2.25,1.857,-42.254,True,NONE,False,False,TEAM_B_WIN
95,1938-06-12T00:00:00+01:00,WC,1938,France,Italy,6,13,9,19,2.5,2.571,1.333,0.571,-156.42,False,TEAM_A,False,False,TEAM_B_WIN
96,1938-06-12T00:00:00+01:00,WC,1938,Hungary,Switzerland,12,10,15,12,5.0,2.286,1.167,1.857,7.472,True,NONE,False,False,TEAM_A_WIN
97,1938-06-14T00:00:00+01:00,WC,1938,Brazil,Czechoslovakia,7,8,7,20,2.6,2.444,2.2,1.0,-91.258,True,NONE,False,False,TEAM_A_WIN
98,1938-06-16T00:00:00+01:00,WC,1938,Brazil,Italy,10,15,10,22,2.5,2.625,2.0,0.625,-114.753,True,NONE,False,False,TEAM_B_WIN
99,1938-06-16T00:00:00+01:00,WC,1938,Hungary,Sweden,12,9,18,18,4.571,3.875,1.0,1.625,25.762,True,NONE,False,False,TEAM_A_WIN
100,1938-06-19T00:00:00+01:00,WC,1938,Brazil,Sweden,7,9,10,18,2.286,3.556,2.0,2.0,-21.8,True,NONE,False,False,TEAM_A_WIN
101,1938-06-19T00:00:00+01:00,WC,1938,Hungary,Italy,12,15,21,25,4.625,2.556,1.0,0.667,-52.506,True,NONE,False,False,TEAM_B_WIN
102,1949-06-02T00:00:00+01:00,WCQ,1949,Sweden,Republic of Ireland,6,2,18,2,3.4,2.75,2.2,3.75,53.629,False,TEAM_A,False,False,TEAM_A_WIN
103,1949-06-26T00:00:00+01:00,WCQ,1949,Switzerland,Luxembourg,7,0,12,0,2.0,1.0,1.875,5.5,124.941,False,TEAM_A,False,False,TEAM_A_WIN
104,1949-08-21T00:00:00+01:00,WCQ,1949,Yugoslavia,Israel,4,0,10,0,1.571,0.75,2.143,3.75,75.018,False,TEAM_A,False,False,TEAM_A_WIN
105,1949-09-08T00:00:00+01:00,WCQ,1949,Republic of Ireland,Finland,2,0,2,0,2.4,0.0,3.6,2.333,7.637,False,NONE,False,False,TEAM_A_WIN
106,1949-09-18T00:00:00+01:00,WCQ,1949,Israel,Yugoslavia,0,7,0,13,0.6,2.125,4.2,1.875,-101.215,False,TEAM_A,False,False,TEAM_B_WIN
107,1949-09-18T00:00:00+01:00,WCQ,1949,Luxembourg,Switzerland,0,10,0,15,1.2,2.333,5.4,1.889,-146.345,False,TEAM_A,False,False,TEAM_B_WIN
108,1949-09-18T00:00:00+01:00,WCQ,1949,Mexico,United States,9,9,9,9,2.571,2.4,2.857,3.0,-51.624,False,TEAM_A,False,False,TEAM_A_WIN
109,1949-09-21T00:00:00+01:00,WCQ,1949,United States,Cuba,6,4,9,11,2.333,2.0,3.5,2.889,13.91,True,NONE,False,False,TEAM_A_WIN
110,1949-09-25T00:00:00+01:00,WCQ,1949,Mexico,Cuba,12,4,12,11,3.0,2.0,2.75,3.1,21.673,False,TEAM_A,False,False,TEAM_A_WIN
111,1949-10-01T00:00:00+01:00,WCQ,1949,Northern Ireland,Scotland,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_B_WIN
112,1949-10-09T00:00:00+01:00,WCQ,1949,Finland,Republic of Ireland,0,4,0,5,0.0,2.5,2.5,3.0,-46.757,False,TEAM_A,False,False,DRAW
113,1949-10-09T00:00:00+01:00,WCQ,1949,Yugoslavia,France,9,6,16,9,2.444,2.286,1.889,1.571,70.036,False,TEAM_A,False,False,DRAW
114,1949-10-15T00:00:00+01:00,WCQ,1949,Wales,England,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_B_WIN
115,1949-10-30T00:00:00+01:00,WCQ,1949,France,Yugoslavia,7,10,10,17,2.125,2.3,1.5,1.8,-56.742,False,TEAM_A,False,False,DRAW
116,1949-11-09T00:00:00+01:00,WCQ,1949,Scotland,Wales,3,0,3,0,8.0,1.0,2.0,4.0,45.718,False,TEAM_A,False,False,TEAM_A_WIN
