clean_match_id,match_date_utc,competition_code,season,team_a_name,team_b_name,target_result,predicted_result,elo_gap,abs_elo_gap,elo_gap_bucket,is_neutral_venue,host_advantage_side,is_group_stage,is_knockout_stage
8312,2021-09-01 22:00:00+00:00,WCQ,2021,North Macedonia,Armenia,DRAW,TEAM_A_WIN,0.52,0.52,0-50,False,TEAM_A,False,False
9335,2025-06-03 22:00:00+00:00,WCQ,2025,Barbados,Aruba,DRAW,TEAM_A_WIN,-0.893,0.893,0-50,False,TEAM_A,False,False
7917,2019-09-03 22:00:00+00:00,WCQ,2019,Burundi,Tanzania,DRAW,TEAM_A_WIN,1.46,1.46,0-50,False,TEAM_A,False,False
8037,2019-11-18 23:00:00+00:00,WCQ,2019,Vietnam,Thailand,DRAW,TEAM_A_WIN,-3.619,3.619,0-50,False,TEAM_A,False,False
7932,2019-09-04 22:00:00+00:00,WCQ,2019,Singapore,Yemen,DRAW,TEAM_A_WIN,4.594,4.594,0-50,False,TEAM_A,False,False
8560,2021-11-10 23:00:00+00:00,WCQ,2021,Iraq,Syria,DRAW,TEAM_B_WIN,6.465,6.465,0-50,True,NONE,False,False
8318,2021-09-01 22:00:00+00:00,WCQ,2021,Canada,Honduras,DRAW,TEAM_A_WIN,7.304,7.304,0-50,False,TEAM_A,False,False
8974,2024-03-20 23:00:00+00:00,WCQ,2024,Afghanistan,India,DRAW,TEAM_B_WIN,8.018,8.018,0-50,True,NONE,False,False
9710,2025-11-17 23:00:00+00:00,WCQ,2025,Austria,Bosnia and Herzegovina,DRAW,TEAM_A_WIN,-9.136,9.136,0-50,False,TEAM_A,False,False
8900,2023-11-15 23:00:00+00:00,WCQ,2023,Lebanon,Palestine,DRAW,TEAM_B_WIN,-9.312,9.312,0-50,True,NONE,False,False
9151,2024-09-09 22:00:00+00:00,WCQ,2024,North Korea,Qatar,DRAW,TEAM_B_WIN,9.419,9.419,0-50,True,NONE,False,False
8260,2021-06-14 22:00:00+00:00,WCQ,2021,India,Afghanistan,DRAW,TEAM_B_WIN,-13.564,13.564,0-50,True,NONE,False,False
7920,2019-09-03 22:00:00+00:00,WCQ,2019,Ethiopia,Lesotho,DRAW,TEAM_A_WIN,15.464,15.464,0-50,False,TEAM_A,False,False
9125,2024-06-10 22:00:00+00:00,WCQ,2024,Saint Lucia,Aruba,DRAW,TEAM_B_WIN,17.398,17.398,0-50,True,NONE,False,False
8224,2021-06-07 22:00:00+00:00,WCQ,2021,Barbados,Dominica,DRAW,TEAM_B_WIN,19.083,19.083,0-50,True,NONE,False,False
8749,2022-03-28 22:00:00+00:00,WCQ,2022,Syria,Iraq,DRAW,TEAM_B_WIN,-22.397,22.397,0-50,True,NONE,False,False
9060,2024-06-06 22:00:00+00:00,WCQ,2024,Kenya,Burundi,DRAW,TEAM_B_WIN,22.661,22.661,0-50,True,NONE,False,False
9513,2025-09-08 22:00:00+00:00,WCQ,2025,Mauritania,South Sudan,DRAW,TEAM_A_WIN,-23.706,23.706,0-50,False,TEAM_A,False,False
7826,2017-11-10 23:00:00+00:00,WCQ,2017,Gabon,Mali,DRAW,TEAM_A_WIN,23.77,23.77,0-50,False,TEAM_A,False,False
9187,2024-10-14 22:00:00+00:00,WCQ,2024,Palestine,Kuwait,DRAW,TEAM_B_WIN,-25.394,25.394,0-50,True,NONE,False,False
8616,2021-11-13 23:00:00+00:00,WCQ,2021,Madagascar,Tanzania,DRAW,TEAM_A_WIN,-26.302,26.302,0-50,False,TEAM_A,False,False
7830,2017-11-10 23:00:00+00:00,WCQ,2017,Zambia,Cameroon,DRAW,TEAM_A_WIN,-28.302,28.302,0-50,False,TEAM_A,False,False
9210,2024-11-16 23:00:00+00:00,WCQ,2024,Fiji,New Caledonia,DRAW,TEAM_B_WIN,-29.301,29.301,0-50,True,NONE,False,False
