statsbomb_match_id,competition_id,season_id,competition_name,season_name,country_name,match_date,stadium_name,stadium_country,team_a_name,team_b_name,team_a_score,team_b_score,total_goals,target_over_1_5,target_over_2_5,target_btts,team_a_shots,team_b_shots,team_a_shots_on_target,team_b_shots_on_target,team_a_goals_from_shots,team_b_goals_from_shots,team_a_xg,team_b_xg,team_a_shot_accuracy,team_b_shot_accuracy,team_a_xg_per_shot,team_b_xg_per_shot,match_shots_total,match_xg_total,event_count
7525,43,3,FIFA World Cup,2018,International,2018-06-14,Stadion Luzhniki,Russia,Russia,Saudi Arabia,5,0,5,True,True,False,14,6,7,0,5,0,1.2816,0.2488,0.5,0.0,0.0915,0.0415,20,1.5304,3318
7576,43,3,FIFA World Cup,2018,International,2018-06-15,Olimpiyskiy Stadion Fisht,Russia,Portugal,Spain,3,3,6,True,True,True,10,12,3,5,3,3,1.4346,1.6609,0.3,0.4167,0.1435,0.1384,22,3.0955,4153
7577,43,3,FIFA World Cup,2018,International,2018-06-15,Saint-Petersburg Stadium ( Gazprom Arena ),Russia,Morocco,Iran,0,1,1,False,False,False,14,8,3,2,0,0,1.0592,0.6976,0.2143,0.25,0.0757,0.0872,22,1.7568,2875
7578,43,3,FIFA World Cup,2018,International,2018-06-15,Ekaterinburg Arena,Russia,Egypt,Uruguay,0,1,1,False,False,False,8,16,3,4,0,1,0.3645,1.9408,0.375,0.25,0.0456,0.1213,24,2.3053,3758
7529,43,3,FIFA World Cup,2018,International,2018-06-16,Rostec Arena,Russia,Croatia,Nigeria,2,0,2,True,False,False,11,13,2,2,1,0,1.6945,0.7623,0.1818,0.1538,0.154,0.0586,24,2.4568,3320
7530,43,3,FIFA World Cup,2018,International,2018-06-16,Ak Bars Arena,Russia,France,Australia,2,1,3,True,True,True,12,5,4,2,1,1,1.5616,0.98,0.3333,0.4,0.1301,0.196,17,2.5416,3472
7531,43,3,FIFA World Cup,2018,International,2018-06-16,Otkritie Bank Arena,Russia,Argentina,Iceland,1,1,2,True,False,True,28,9,7,2,1,1,2.0805,1.0321,0.25,0.2222,0.0743,0.1147,37,3.1126,3599
7532,43,3,FIFA World Cup,2018,International,2018-06-16,Mordovia Arena,Russia,Peru,Denmark,0,1,1,False,False,False,17,11,6,3,0,1,1.9264,1.1216,0.3529,0.2727,0.1133,0.102,28,3.048,3097
7533,43,3,FIFA World Cup,2018,International,2018-06-17,Rostov Arena,Russia,Brazil,Switzerland,1,1,2,True,False,True,21,7,4,2,1,1,1.8666,0.4721,0.1905,0.2857,0.0889,0.0674,28,2.3387,4010
7534,43,3,FIFA World Cup,2018,International,2018-06-17,Stadion Luzhniki,Russia,Germany,Mexico,0,1,1,False,False,False,26,12,9,4,0,1,2.2993,0.9933,0.3462,0.3333,0.0884,0.0828,38,3.2926,3704
