section,segment_type,segment_value,target_name,class_label,match_count,percentage,denominator
data_quality,ALL,ALL,match_availability,total_clean_matches,9735,100.0,9735
data_quality,ALL,ALL,match_availability,scores_complete,9735,100.0,9735
data_quality,ALL,ALL,match_availability,valid_1x2_result,9735,100.0,9735
data_quality,ALL,ALL,match_availability,feature_available,9735,100.0,9735
data_quality,ALL,ALL,match_availability,exploitable_v18_3,9735,100.0,9735
data_quality,ALL,ALL,match_availability,not_exploitable_v18_3,0,0.0,9735
competition_distribution,competition_code,WC,competition_scope,WC,964,9.9,9735
competition_distribution,competition_code,WCQ,competition_scope,WCQ,8771,90.1,9735
temporal_distribution,season,1930,season_scope,1930,18,0.18,9735
temporal_distribution,season,1933,season_scope,1933,5,0.05,9735
temporal_distribution,season,1934,season_scope,1934,38,0.39,9735
temporal_distribution,season,1937,season_scope,1937,14,0.14,9735
temporal_distribution,season,1938,season_scope,1938,26,0.27,9735
temporal_distribution,season,1949,season_scope,1949,19,0.2,9735
temporal_distribution,season,1950,season_scope,1950,26,0.27,9735
temporal_distribution,season,1953,season_scope,1953,30,0.31,9735
temporal_distribution,season,1954,season_scope,1954,47,0.48,9735
temporal_distribution,season,1956,season_scope,1956,4,0.04,9735
temporal_distribution,season,1957,season_scope,1957,82,0.84,9735
temporal_distribution,season,1958,season_scope,1958,38,0.39,9735
temporal_distribution,season,1960,season_scope,1960,25,0.26,9735
temporal_distribution,season,1961,season_scope,1961,66,0.68,9735
temporal_distribution,season,1962,season_scope,1962,32,0.33,9735
temporal_distribution,season,1964,season_scope,1964,14,0.14,9735
temporal_distribution,season,1965,season_scope,1965,113,1.16,9735
temporal_distribution,season,1966,season_scope,1966,32,0.33,9735
temporal_distribution,season,1968,season_scope,1968,54,0.55,9735
temporal_distribution,season,1969,season_scope,1969,118,1.21,9735
temporal_distribution,season,1970,season_scope,1970,32,0.33,9735
temporal_distribution,season,1971,season_scope,1971,1,0.01,9735
temporal_distribution,season,1972,season_scope,1972,56,0.58,9735
temporal_distribution,season,1973,season_scope,1973,134,1.38,9735
temporal_distribution,season,1974,season_scope,1974,39,0.4,9735
temporal_distribution,season,1976,season_scope,1976,50,0.51,9735
temporal_distribution,season,1977,season_scope,1977,150,1.54,9735
temporal_distribution,season,1978,season_scope,1978,38,0.39,9735
temporal_distribution,season,1980,season_scope,1980,89,0.91,9735
temporal_distribution,season,1981,season_scope,1981,159,1.63,9735
temporal_distribution,season,1982,season_scope,1982,53,0.54,9735
temporal_distribution,season,1984,season_scope,1984,63,0.65,9735
temporal_distribution,season,1985,season_scope,1985,211,2.17,9735
temporal_distribution,season,1986,season_scope,1986,52,0.53,9735
temporal_distribution,season,1988,season_scope,1988,49,0.5,9735
temporal_distribution,season,1989,season_scope,1989,229,2.35,9735
temporal_distribution,season,1990,season_scope,1990,52,0.53,9735
temporal_distribution,season,1992,season_scope,1992,156,1.6,9735
temporal_distribution,season,1993,season_scope,1993,339,3.48,9735
temporal_distribution,season,1994,season_scope,1994,52,0.53,9735
temporal_distribution,season,1996,season_scope,1996,232,2.38,9735
temporal_distribution,season,1997,season_scope,1997,410,4.21,9735
temporal_distribution,season,1998,season_scope,1998,64,0.66,9735
temporal_distribution,season,2000,season_scope,2000,283,2.91,9735
temporal_distribution,season,2001,season_scope,2001,491,5.04,9735
temporal_distribution,season,2002,season_scope,2002,64,0.66,9735
temporal_distribution,season,2003,season_scope,2003,72,0.74,9735
temporal_distribution,season,2004,season_scope,2004,408,4.19,9735
temporal_distribution,season,2005,season_scope,2005,352,3.62,9735
temporal_distribution,season,2006,season_scope,2006,64,0.66,9735
temporal_distribution,season,2007,season_scope,2007,66,0.68,9735
temporal_distribution,season,2008,season_scope,2008,414,4.25,9735
temporal_distribution,season,2009,season_scope,2009,332,3.41,9735
temporal_distribution,season,2010,season_scope,2010,64,0.66,9735
temporal_distribution,season,2011,season_scope,2011,216,2.22,9735
temporal_distribution,season,2012,season_scope,2012,241,2.48,9735
temporal_distribution,season,2013,season_scope,2013,347,3.56,9735
temporal_distribution,season,2014,season_scope,2014,64,0.66,9735
temporal_distribution,season,2015,season_scope,2015,280,2.88,9735
temporal_distribution,season,2016,season_scope,2016,260,2.67,9735
temporal_distribution,season,2017,season_scope,2017,311,3.19,9735
temporal_distribution,season,2018,season_scope,2018,64,0.66,9735
temporal_distribution,season,2019,season_scope,2019,136,1.4,9735
temporal_distribution,season,2020,season_scope,2020,21,0.22,9735
temporal_distribution,season,2021,season_scope,2021,609,6.26,9735
temporal_distribution,season,2022,season_scope,2022,164,1.68,9735
temporal_distribution,season,2023,season_scope,2023,138,1.42,9735
temporal_distribution,season,2024,season_scope,2024,255,2.62,9735
temporal_distribution,season,2025,season_scope,2025,492,5.05,9735
temporal_distribution,season,2026,season_scope,2026,16,0.16,9735
target_distribution,ALL,ALL,target_1x2,TEAM_A_WIN,4898,50.31,9735
target_distribution,ALL,ALL,target_1x2,DRAW,2069,21.25,9735
target_distribution,ALL,ALL,target_1x2,TEAM_B_WIN,2768,28.43,9735
target_distribution,ALL,ALL,target_over_1_5,YES,7246,74.43,9735
target_distribution,ALL,ALL,target_over_1_5,NO,2489,25.57,9735
target_distribution,ALL,ALL,target_over_2_5,YES,5027,51.64,9735
target_distribution,ALL,ALL,target_over_2_5,NO,4708,48.36,9735
target_distribution,ALL,ALL,target_btts,YES,4068,41.79,9735
target_distribution,ALL,ALL,target_btts,NO,5667,58.21,9735
target_by_competition,competition_code,WC,target_1x2,TEAM_A_WIN,439,45.54,964
target_by_competition,competition_code,WC,target_1x2,DRAW,214,22.2,964
target_by_competition,competition_code,WC,target_1x2,TEAM_B_WIN,311,32.26,964
target_by_competition,competition_code,WC,target_over_1_5,YES,704,73.03,964
target_by_competition,competition_code,WC,target_over_1_5,NO,260,26.97,964
target_by_competition,competition_code,WC,target_over_2_5,YES,501,51.97,964
target_by_competition,competition_code,WC,target_over_2_5,NO,463,48.03,964
target_by_competition,competition_code,WC,target_btts,YES,490,50.83,964
target_by_competition,competition_code,WC,target_btts,NO,474,49.17,964
target_by_competition,competition_code,WCQ,target_1x2,TEAM_A_WIN,4459,50.84,8771
target_by_competition,competition_code,WCQ,target_1x2,DRAW,1855,21.15,8771
target_by_competition,competition_code,WCQ,target_1x2,TEAM_B_WIN,2457,28.01,8771
target_by_competition,competition_code,WCQ,target_over_1_5,YES,6542,74.59,8771
target_by_competition,competition_code,WCQ,target_over_1_5,NO,2229,25.41,8771
target_by_competition,competition_code,WCQ,target_over_2_5,YES,4526,51.6,8771
target_by_competition,competition_code,WCQ,target_over_2_5,NO,4245,48.4,8771
target_by_competition,competition_code,WCQ,target_btts,YES,3578,40.79,8771
