clean_match_id,feature_id,feature_version,match_date_utc,season,competition_code,competition_name,stage,group_name,team_a_name,team_b_name,team_a_score,team_b_score,total_goals,target_1x2,target_over_1_5,target_over_2_5,target_btts,home_form_points_last_5,away_form_points_last_5,home_form_points_last_10,away_form_points_last_10,home_goals_scored_avg_last_10,away_goals_scored_avg_last_10,home_goals_conceded_avg_last_10,away_goals_conceded_avg_last_10,ranking_gap,elo_gap,is_neutral_venue,team_a_is_host,team_b_is_host,host_side_team_a,host_side_team_b,is_group_stage,is_knockout_stage,split_role
1,1,national_v1_elo_form,1930-07-13T00:00:00+01:00,1930,WC,FIFA World Cup,,,Belgium,United States,0,3,3,TEAM_B_WIN,YES,YES,NO,0.0,0.0,0.0,0.0,,,,,,0.0,1,0,0,0,0,0,0,train
2,2,national_v1_elo_form,1930-07-13T00:00:00+01:00,1930,WC,FIFA World Cup,,,France,Mexico,4,1,5,TEAM_A_WIN,YES,YES,YES,0.0,0.0,0.0,0.0,,,,,,0.0,1,0,0,0,0,0,0,train
3,3,national_v1_elo_form,1930-07-14T00:00:00+01:00,1930,WC,FIFA World Cup,,,Brazil,Yugoslavia,1,2,3,TEAM_B_WIN,YES,YES,YES,0.0,0.0,0.0,0.0,,,,,,0.0,1,0,0,0,0,0,0,train
4,4,national_v1_elo_form,1930-07-14T00:00:00+01:00,1930,WC,FIFA World Cup,,,Peru,Romania,1,3,4,TEAM_B_WIN,YES,YES,YES,0.0,0.0,0.0,0.0,,,,,,0.0,1,0,0,0,0,0,0,train
5,5,national_v1_elo_form,1930-07-15T00:00:00+01:00,1930,WC,FIFA World Cup,,,Argentina,France,1,0,1,TEAM_A_WIN,NO,NO,NO,0.0,3.0,0.0,3.0,,4.0,,1.0,,-30.0,1,0,0,0,0,0,0,train
6,6,national_v1_elo_form,1930-07-16T00:00:00+01:00,1930,WC,FIFA World Cup,,,Chile,Mexico,3,0,3,TEAM_A_WIN,YES,YES,NO,0.0,0.0,0.0,0.0,,1.0,,4.0,,30.0,1,0,0,0,0,0,0,train
7,7,national_v1_elo_form,1930-07-17T00:00:00+01:00,1930,WC,FIFA World Cup,,,Bolivia,Yugoslavia,0,4,4,TEAM_B_WIN,YES,YES,NO,0.0,3.0,0.0,3.0,,2.0,,1.0,,-30.0,1,0,0,0,0,0,0,train
8,8,national_v1_elo_form,1930-07-17T00:00:00+01:00,1930,WC,FIFA World Cup,,,Paraguay,United States,0,3,3,TEAM_B_WIN,YES,YES,NO,0.0,3.0,0.0,3.0,,3.0,,0.0,,-30.0,1,0,0,0,0,0,0,train
9,9,national_v1_elo_form,1930-07-18T00:00:00+01:00,1930,WC,FIFA World Cup,,,Uruguay,Peru,1,0,1,TEAM_A_WIN,NO,NO,NO,0.0,0.0,0.0,0.0,,1.0,,3.0,,30.0,0,1,0,1,0,0,0,train
10,10,national_v1_elo_form,1930-07-19T00:00:00+01:00,1930,WC,FIFA World Cup,,,Argentina,Mexico,6,3,9,TEAM_A_WIN,YES,YES,YES,3.0,0.0,3.0,0.0,1.0,0.5,0.0,3.5,,90.0,1,0,0,0,0,0,0,train
11,11,national_v1_elo_form,1930-07-19T00:00:00+01:00,1930,WC,FIFA World Cup,,,Chile,France,1,0,1,TEAM_A_WIN,NO,NO,NO,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,,30.0,1,0,0,0,0,0,0,train
12,12,national_v1_elo_form,1930-07-20T00:00:00+01:00,1930,WC,FIFA World Cup,,,Belgium,Paraguay,0,1,1,TEAM_B_WIN,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,,-2.584,1,0,0,0,0,0,0,train
13,13,national_v1_elo_form,1930-07-20T00:00:00+01:00,1930,WC,FIFA World Cup,,,Bolivia,Brazil,0,4,4,TEAM_B_WIN,YES,YES,NO,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,,2.584,1,0,0,0,0,0,0,train
14,14,national_v1_elo_form,1930-07-21T00:00:00+01:00,1930,WC,FIFA World Cup,,,Uruguay,Romania,4,0,4,TEAM_A_WIN,YES,YES,NO,3.0,3.0,3.0,3.0,1.0,3.0,0.0,1.0,,-6.788,0,1,0,1,0,0,0,train
15,15,national_v1_elo_form,1930-07-22T00:00:00+01:00,1930,WC,FIFA World Cup,,,Argentina,Chile,3,1,4,TEAM_A_WIN,YES,YES,YES,6.0,6.0,6.0,6.0,3.5,2.0,1.5,0.0,,0.15,1,0,0,0,0,0,0,train
16,16,national_v1_elo_form,1930-07-26T00:00:00+01:00,1930,WC,FIFA World Cup,,,Argentina,United States,6,1,7,TEAM_A_WIN,YES,YES,YES,9.0,6.0,9.0,6.0,3.333,3.0,1.333,0.0,,27.553,1,0,0,0,0,0,0,train
17,17,national_v1_elo_form,1930-07-27T00:00:00+01:00,1930,WC,FIFA World Cup,,,Uruguay,Yugoslavia,6,1,7,TEAM_A_WIN,YES,YES,YES,6.0,6.0,6.0,6.0,2.5,3.0,0.0,0.5,,-7.916,0,1,0,1,0,0,0,train
18,18,national_v1_elo_form,1930-07-30T00:00:00+01:00,1930,WC,FIFA World Cup,,,Uruguay,Argentina,4,2,6,TEAM_A_WIN,YES,YES,YES,9.0,12.0,9.0,12.0,3.667,4.0,0.333,1.25,,-36.711,0,1,0,1,0,0,0,train
19,19,national_v1_elo_form,1933-06-11T00:00:00+01:00,1933,WCQ,FIFA World Cup qualification,,,Sweden,Estonia,6,2,8,TEAM_A_WIN,YES,YES,YES,0.0,0.0,0.0,0.0,,,,,,0.0,0,1,0,1,0,0,0,train
20,20,national_v1_elo_form,1933-06-29T00:00:00+01:00,1933,WCQ,FIFA World Cup qualification,,,Lithuania,Sweden,0,2,2,TEAM_B_WIN,YES,NO,NO,0.0,3.0,0.0,3.0,,6.0,,2.0,,-17.141,0,1,0,1,0,0,0,train
21,21,national_v1_elo_form,1933-09-24T00:00:00+01:00,1933,WCQ,FIFA World Cup qualification,,,Yugoslavia,Switzerland,2,2,4,DRAW,YES,YES,YES,6.0,0.0,6.0,0.0,2.333,,2.333,,,31.032,0,1,0,1,0,0,0,train
22,22,national_v1_elo_form,1933-10-15T00:00:00+00:00,1933,WCQ,FIFA World Cup qualification,,,Poland,Czechoslovakia,1,2,3,TEAM_B_WIN,YES,YES,YES,0.0,0.0,0.0,0.0,,,,,,0.0,0,1,0,1,0,0,0,train
23,23,national_v1_elo_form,1933-10-29T00:00:00+00:00,1933,WCQ,FIFA World Cup qualification,,,Switzerland,Romania,2,2,4,DRAW,YES,YES,YES,1.0,3.0,1.0,3.0,2.0,1.5,2.0,2.5,,0.87,0,1,0,1,0,0,0,train
24,24,national_v1_elo_form,1934-01-28T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Haiti,Cuba,1,3,4,TEAM_B_WIN,YES,YES,YES,0.0,0.0,0.0,0.0,,,,,,0.0,0,1,0,1,0,0,0,train
25,25,national_v1_elo_form,1934-02-01T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Haiti,Cuba,1,1,2,DRAW,YES,NO,YES,0.0,3.0,0.0,3.0,1.0,3.0,3.0,1.0,,-45.718,0,1,0,1,0,0,0,train
26,26,national_v1_elo_form,1934-02-04T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Haiti,Cuba,0,6,6,TEAM_B_WIN,YES,YES,NO,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,,-46.21,0,1,0,1,0,0,0,train
27,27,national_v1_elo_form,1934-02-25T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Republic of Ireland,Belgium,4,4,8,DRAW,YES,YES,YES,0.0,0.0,0.0,0.0,,0.0,,2.0,,59.777,1,0,0,0,0,0,0,train
28,28,national_v1_elo_form,1934-03-04T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Mexico,Cuba,3,2,5,TEAM_A_WIN,YES,YES,YES,0.0,7.0,0.0,7.0,1.333,3.333,4.333,0.667,,-123.137,0,1,0,1,0,0,0,train
29,29,national_v1_elo_form,1934-03-11T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Luxembourg,Germany,1,9,10,TEAM_B_WIN,YES,YES,YES,0.0,0.0,0.0,0.0,,,,,,0.0,0,1,0,1,0,0,0,train
30,30,national_v1_elo_form,1934-03-11T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Mexico,Cuba,5,0,5,TEAM_A_WIN,YES,YES,NO,3.0,7.0,3.0,7.0,1.75,3.0,3.75,1.25,,-74.839,0,1,0,1,0,0,0,train
31,31,national_v1_elo_form,1934-03-11T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Spain,Portugal,9,0,9,TEAM_A_WIN,YES,YES,NO,0.0,0.0,0.0,0.0,,,,,,0.0,0,1,0,1,0,0,0,train
32,32,national_v1_elo_form,1934-03-16T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Egypt,Israel,7,1,8,TEAM_A_WIN,YES,YES,YES,0.0,0.0,0.0,0.0,,,,,,0.0,0,1,0,1,0,0,0,train
33,33,national_v1_elo_form,1934-03-18T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Mexico,Cuba,4,1,5,TEAM_A_WIN,YES,YES,YES,6.0,7.0,6.0,7.0,2.4,2.4,3.0,2.0,,-31.985,0,1,0,1,0,0,0,train
34,34,national_v1_elo_form,1934-03-18T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Portugal,Spain,1,2,3,TEAM_B_WIN,YES,YES,YES,0.0,3.0,0.0,3.0,0.0,9.0,9.0,0.0,,-34.282,0,1,0,1,0,0,0,train
35,35,national_v1_elo_form,1934-03-25T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Bulgaria,Hungary,1,4,5,TEAM_B_WIN,YES,YES,YES,0.0,0.0,0.0,0.0,,,,,,0.0,0,1,0,1,0,0,0,train
36,36,national_v1_elo_form,1934-03-25T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Italy,Greece,4,0,4,TEAM_A_WIN,YES,YES,NO,0.0,0.0,0.0,0.0,,,,,,0.0,0,1,0,1,0,0,0,train
37,37,national_v1_elo_form,1934-04-06T00:00:00+00:00,1934,WCQ,FIFA World Cup qualification,,,Israel,Egypt,1,4,5,TEAM_B_WIN,YES,YES,YES,0.0,3.0,0.0,3.0,1.0,7.0,7.0,1.0,,-34.282,0,0,0,0,0,0,0,train
38,38,national_v1_elo_form,1934-04-08T00:00:00+01:00,1934,WCQ,FIFA World Cup qualification,,,Netherlands,Republic of Ireland,5,2,7,TEAM_A_WIN,YES,YES,YES,0.0,1.0,0.0,1.0,,4.0,,4.0,,3.407,0,1,0,1,0,0,0,train
39,39,national_v1_elo_form,1934-04-15T00:00:00+01:00,1934,WCQ,FIFA World Cup qualification,,,Luxembourg,France,1,6,7,TEAM_B_WIN,YES,YES,YES,0.0,3.0,0.0,3.0,1.0,1.333,9.0,1.0,,7.141,0,1,0,1,0,0,0,train
40,40,national_v1_elo_form,1934-04-25T00:00:00+01:00,1934,WCQ,FIFA World Cup qualification,,,Austria,Bulgaria,6,1,7,TEAM_A_WIN,YES,YES,YES,0.0,0.0,0.0,0.0,,1.0,,4.0,,22.859,0,1,0,1,0,0,0,train
41,41,national_v1_elo_form,1934-04-29T00:00:00+01:00,1934,WCQ,FIFA World Cup qualification,,,Hungary,Bulgaria,4,1,5,TEAM_A_WIN,YES,YES,YES,3.0,0.0,3.0,0.0,4.0,1.0,1.0,5.0,,61.584,0,1,0,1,0,0,0,train
42,42,national_v1_elo_form,1934-04-29T00:00:00+01:00,1934,WCQ,FIFA World Cup qualification,,,Belgium,Netherlands,2,4,6,TEAM_B_WIN,YES,YES,YES,1.0,3.0,1.0,3.0,1.333,5.0,2.667,2.0,,-73.319,0,1,0,1,0,0,0,train
43,43,national_v1_elo_form,1934-04-29T00:00:00+01:00,1934,WCQ,FIFA World Cup qualification,,,Romania,Yugoslavia,2,1,3,TEAM_A_WIN,YES,YES,YES,4.0,7.0,4.0,7.0,1.667,2.25,2.333,2.25,,-19.83,0,1,0,1,0,0,0,train
44,44,national_v1_elo_form,1934-05-24T00:00:00+01:00,1934,WCQ,FIFA World Cup qualification,,,Mexico,United States,2,4,6,TEAM_B_WIN,YES,YES,YES,9.0,6.0,9.0,6.0,2.667,2.333,2.667,2.0,,-45.064,1,0,0,0,0,0,0,train
45,45,national_v1_elo_form,1934-05-27T00:00:00+01:00,1934,WC,FIFA World Cup,,,Argentina,Sweden,2,3,5,TEAM_B_WIN,YES,YES,YES,12.0,6.0,12.0,6.0,3.6,4.0,1.8,1.0,,44.715,1,0,0,0,0,0,0,train
46,46,national_v1_elo_form,1934-05-27T00:00:00+01:00,1934,WC,FIFA World Cup,,,Austria,France,3,2,5,TEAM_A_WIN,YES,YES,YES,3.0,6.0,3.0,6.0,6.0,2.5,1.0,1.0,,22.606,1,0,0,0,0,0,0,train
47,47,national_v1_elo_form,1934-05-27T00:00:00+01:00,1934,WC,FIFA World Cup,,,Belgium,Germany,2,5,7,TEAM_B_WIN,YES,YES,YES,1.0,3.0,1.0,3.0,1.5,9.0,3.0,1.0,,-97.888,1,0,0,0,0,0,0,train
48,48,national_v1_elo_form,1934-05-27T00:00:00+01:00,1934,WC,FIFA World Cup,,,Brazil,Spain,1,3,4,TEAM_B_WIN,YES,YES,YES,3.0,6.0,3.0,6.0,2.5,5.5,1.0,0.5,,-37.823,1,0,0,0,0,0,0,train
49,49,national_v1_elo_form,1934-05-27T00:00:00+01:00,1934,WC,FIFA World Cup,,,Czechoslovakia,Romania,2,1,3,TEAM_A_WIN,YES,YES,YES,3.0,7.0,3.0,7.0,2.0,1.75,1.0,2.0,,-2.028,1,0,0,0,0,0,0,train
50,50,national_v1_elo_form,1934-05-27T00:00:00+01:00,1934,WC,FIFA World Cup,,,Egypt,Hungary,2,4,6,TEAM_B_WIN,YES,YES,YES,6.0,6.0,6.0,6.0,5.5,4.0,1.0,1.0,,-1.473,1,0,0,0,0,0,0,train
51,51,national_v1_elo_form,1934-05-27T00:00:00+01:00,1934,WC,FIFA World Cup,,,Italy,United States,7,1,8,TEAM_A_WIN,YES,YES,YES,3.0,9.0,3.0,9.0,4.0,2.75,0.0,2.0,,-30.07,0,1,0,1,0,0,0,train
52,52,national_v1_elo_form,1934-05-27T00:00:00+01:00,1934,WC,FIFA World Cup,,,Netherlands,Switzerland,2,3,5,TEAM_B_WIN,YES,YES,YES,6.0,2.0,6.0,2.0,4.5,2.0,2.0,2.0,,33.935,1,0,0,0,0,0,0,train
