market,target_column,model_name,status,train_rows,test_rows,feature_count,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,best_model_for_market,model_artifact,error
1X2,target_1x2,dummy_most_frequent,OK,7788,1947,16,0.4694,0.3333,0.213,0.2999,0.1565,0.3333,logistic_regression_balanced,,
1X2,target_1x2,logistic_regression_balanced,OK,7788,1947,16,0.6004,0.5627,0.5597,0.6035,0.5589,0.5627,logistic_regression_balanced,C:\dev_classe\RNCP\RubyBets\models\ml_national\v18_3_global_multimarket\1x2_best_model.joblib,
1X2,target_1x2,random_forest_balanced,OK,7788,1947,16,0.5999,0.5475,0.5415,0.5936,0.5391,0.5475,logistic_regression_balanced,,
OVER_1_5,target_over_1_5,dummy_most_frequent,OK,7788,1947,16,0.7242,0.5,0.42,0.6083,0.3621,0.5,random_forest_balanced,,
OVER_1_5,target_over_1_5,logistic_regression_balanced,OK,7788,1947,16,0.5039,0.5479,0.4928,0.5264,0.5392,0.5479,random_forest_balanced,,
OVER_1_5,target_over_1_5,random_forest_balanced,OK,7788,1947,16,0.6014,0.5692,0.5537,0.6191,0.5577,0.5692,random_forest_balanced,C:\dev_classe\RNCP\RubyBets\models\ml_national\v18_3_global_multimarket\over_1_5_best_model.joblib,
OVER_2_5,target_over_2_5,dummy_most_frequent,OK,7788,1947,16,0.4961,0.5,0.3316,0.3291,0.2481,0.5,random_forest_balanced,,
OVER_2_5,target_over_2_5,logistic_regression_balanced,OK,7788,1947,16,0.5706,0.5699,0.5666,0.5669,0.5724,0.5699,random_forest_balanced,,
OVER_2_5,target_over_2_5,random_forest_balanced,OK,7788,1947,16,0.5937,0.593,0.5901,0.5904,0.5962,0.593,random_forest_balanced,C:\dev_classe\RNCP\RubyBets\models\ml_national\v18_3_global_multimarket\over_2_5_best_model.joblib,
BTTS,target_btts,dummy_most_frequent,OK,7788,1947,16,0.6112,0.5,0.3793,0.4637,0.3056,0.5,random_forest_balanced,,
BTTS,target_btts,logistic_regression_balanced,OK,7788,1947,16,0.5162,0.5122,0.5076,0.5221,0.5116,0.5122,random_forest_balanced,,
BTTS,target_btts,random_forest_balanced,OK,7788,1947,16,0.5413,0.5349,0.5311,0.5465,0.5334,0.5349,random_forest_balanced,C:\dev_classe\RNCP\RubyBets\models\ml_national\v18_3_global_multimarket\btts_best_model.joblib,
