selector_variant,config_family,total_rows,selected_rows,abstain_rows,coverage,abstention_rate,reliability,avg_confidence,double_chance_rows,double_chance_share_selected,direct_market_rows,direct_market_share_selected,strict_1x2_rows,over_1_5_rows,over_2_5_rows,btts_rows,selected_markets_count,quality_score,meets_v18_3_2_targets,strict_1x2_min_confidence,over_1_5_yes_min_confidence,over_2_5_min_confidence,btts_no_min_confidence,double_chance_max_excluded_probability,double_chance_share_cap,allow_btts,priority_name,priority
v18_3_2_s760_o15760_o25640_b720_dc150_capnone_reference_order_btts1,threshold_search,1947,1141,806,0.5860297894196199,0.4139702105803801,0.8816827344434707,0.8753567142857143,758,0.6643295354951797,383,0.33567046450482035,276,38,67,2,5,0.7147361927178919,False,0.76,0.76,0.64,0.72,0.15,,True,reference_order,STRICT_1X2 > OVER_1_5 > OVER_2_5 > BTTS > DOUBLE_CHANCE
v18_3_2_s760_o15760_o25640_b720_dc150_cap700_reference_order_btts1,threshold_search,1947,1141,806,0.5860297894196199,0.4139702105803801,0.8816827344434707,0.8753567142857143,758,0.6643295354951797,383,0.33567046450482035,276,38,67,2,5,0.7147361927178919,False,0.76,0.76,0.64,0.72,0.15,0.7,True,reference_order,STRICT_1X2 > OVER_1_5 > OVER_2_5 > BTTS > DOUBLE_CHANCE
v18_3_2_s760_o15760_o25640_b720_dc150_cap720_reference_order_btts1,threshold_search,1947,1141,806,0.5860297894196199,0.4139702105803801,0.8816827344434707,0.8753567142857143,758,0.6643295354951797,383,0.33567046450482035,276,38,67,2,5,0.7147361927178919,False,0.76,0.76,0.64,0.72,0.15,0.72,True,reference_order,STRICT_1X2 > OVER_1_5 > OVER_2_5 > BTTS > DOUBLE_CHANCE
v18_3_2_s760_o15780_o25640_b720_dc150_capnone_reference_order_btts1,threshold_search,1947,1139,808,0.5850025680534156,0.4149974319465845,0.8832309043020193,0.8757813450395083,763,0.6698858647936786,376,0.3301141352063213,276,23,75,2,5,0.7144663476779072,False,0.76,0.78,0.64,0.72,0.15,,True,reference_order,STRICT_1X2 > OVER_1_5 > OVER_2_5 > BTTS > DOUBLE_CHANCE
v18_3_2_s760_o15780_o25640_b720_dc150_cap700_reference_order_btts1,threshold_search,1947,1139,808,0.5850025680534156,0.4149974319465845,0.8832309043020193,0.8757813450395083,763,0.6698858647936786,376,0.3301141352063213,276,23,75,2,5,0.7144663476779072,False,0.76,0.78,0.64,0.72,0.15,0.7,True,reference_order,STRICT_1X2 > OVER_1_5 > OVER_2_5 > BTTS > DOUBLE_CHANCE
v18_3_2_s760_o15780_o25640_b720_dc150_cap720_reference_order_btts1,threshold_search,1947,1139,808,0.5850025680534156,0.4149974319465845,0.8832309043020193,0.8757813450395083,763,0.6698858647936786,376,0.3301141352063213,276,23,75,2,5,0.7144663476779072,False,0.76,0.78,0.64,0.72,0.15,0.72,True,reference_order,STRICT_1X2 > OVER_1_5 > OVER_2_5 > BTTS > DOUBLE_CHANCE
v18_3_2_s760_o15760_o25680_b750_dc150_capnone_reference_order_btts1,threshold_search,1947,1129,818,0.5798664612223934,0.42013353877760656,0.8937112488928255,0.8842135527015058,787,0.6970770593445527,342,0.3029229406554473,276,38,27,1,5,0.7144089405562737,False,0.76,0.76,0.68,0.75,0.15,,True,reference_order,STRICT_1X2 > OVER_1_5 > OVER_2_5 > BTTS > DOUBLE_CHANCE
v18_3_2_s760_o15760_o25680_b750_dc150_cap700_reference_order_btts1,threshold_search,1947,1129,818,0.5798664612223934,0.42013353877760656,0.8937112488928255,0.8842135527015058,787,0.6970770593445527,342,0.3029229406554473,276,38,27,1,5,0.7144089405562737,False,0.76,0.76,0.68,0.75,0.15,0.7,True,reference_order,STRICT_1X2 > OVER_1_5 > OVER_2_5 > BTTS > DOUBLE_CHANCE
v18_3_2_s760_o15760_o25680_b750_dc150_cap720_reference_order_btts1,threshold_search,1947,1129,818,0.5798664612223934,0.42013353877760656,0.8937112488928255,0.8842135527015058,787,0.6970770593445527,342,0.3029229406554473,276,38,27,1,5,0.7144089405562737,False,0.76,0.76,0.68,0.75,0.15,0.72,True,reference_order,STRICT_1X2 > OVER_1_5 > OVER_2_5 > BTTS > DOUBLE_CHANCE
v18_3_2_s760_o15760_o25640_b700_dc150_capnone_reference_order_btts1,threshold_search,1947,1141,806,0.5860297894196199,0.4139702105803801,0.8799298860648553,0.8746489386503068,754,0.6608238387379491,387,0.33917616126205086,276,38,67,6,5,0.7142979806232381,False,0.76,0.76,0.64,0.7,0.15,,True,reference_order,STRICT_1X2 > OVER_1_5 > OVER_2_5 > BTTS > DOUBLE_CHANCE
