selector_variant,clean_match_id,match_date_utc,season,competition_code,competition_name,team_a_name,team_b_name,team_a_score,team_b_score,target_1x2,target_over_1_5,target_over_2_5,target_btts,1x2_prediction,1x2_max_probability,over_1_5_prediction,over_1_5_max_probability,over_2_5_prediction,over_2_5_max_probability,btts_prediction,btts_max_probability,selected_market,selected_prediction,selected_confidence,risk_level,actual_value,is_correct,selector_rule,excluded_outcome,excluded_probability
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7789,2017-10-08T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Slovakia,Malta,3,0,TEAM_A_WIN,YES,YES,NO,TEAM_A_WIN,0.883557,YES,0.874624,YES,0.688585,NO,0.658694,STRICT_1X2,TEAM_A_WIN,0.883557,low,TEAM_A_WIN,True,1X2 non-DRAW avec confiance >= 0.76,,
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7790,2017-10-08T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Slovenia,Scotland,2,2,DRAW,YES,YES,YES,DRAW,0.484392,NO,0.644129,NO,0.633383,NO,0.510766,ABSTAIN,ABSTAIN,,none,,,Aucun signal ne respecte les seuils V18.3.2.,,
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7791,2017-10-09T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Albania,Italy,0,1,TEAM_B_WIN,NO,NO,NO,TEAM_B_WIN,0.57194,NO,0.549475,NO,0.590656,YES,0.53015,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.921329,low,TEAM_B_WIN,True,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,TEAM_A_WIN,0.078671
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7792,2017-10-09T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Finland,Turkey,2,2,DRAW,YES,YES,YES,DRAW,0.42667,NO,0.589894,NO,0.604454,YES,0.527097,ABSTAIN,ABSTAIN,,none,,,Aucun signal ne respecte les seuils V18.3.2.,,
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7793,2017-10-09T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Iceland,Kosovo,2,0,TEAM_A_WIN,YES,NO,NO,TEAM_A_WIN,0.744985,YES,0.720331,YES,0.677479,NO,0.776186,BTTS,NO,0.776186,medium,NO,True,BTTS NO avec confiance >= 0.75,,
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7794,2017-10-09T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Israel,Spain,0,1,TEAM_B_WIN,NO,NO,NO,TEAM_B_WIN,0.757287,YES,0.724638,NO,0.51657,YES,0.608424,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.976817,low,TEAM_B_WIN,True,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,TEAM_A_WIN,0.023183
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7795,2017-10-09T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,North Macedonia,Liechtenstein,4,0,TEAM_A_WIN,YES,YES,NO,TEAM_A_WIN,0.786382,YES,0.766851,YES,0.735942,NO,0.814025,STRICT_1X2,TEAM_A_WIN,0.786382,medium,TEAM_A_WIN,True,1X2 non-DRAW avec confiance >= 0.76,,
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7796,2017-10-09T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Moldova,Austria,0,1,TEAM_B_WIN,NO,NO,NO,TEAM_B_WIN,0.659905,YES,0.577664,YES,0.533838,YES,0.542793,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.929149,low,TEAM_B_WIN,True,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,TEAM_A_WIN,0.070851
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7797,2017-10-09T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Serbia,Georgia,1,0,TEAM_A_WIN,NO,NO,NO,TEAM_A_WIN,0.74897,YES,0.635016,NO,0.540205,NO,0.547661,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.955131,low,TEAM_A_WIN,True,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,TEAM_B_WIN,0.044869
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7798,2017-10-09T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Ukraine,Croatia,0,2,TEAM_B_WIN,YES,NO,NO,DRAW,0.441159,NO,0.566557,NO,0.585891,NO,0.508341,ABSTAIN,ABSTAIN,,none,,,Aucun signal ne respecte les seuils V18.3.2.,,
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7799,2017-10-09T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Wales,Republic of Ireland,0,1,TEAM_B_WIN,NO,NO,NO,DRAW,0.470037,NO,0.583266,NO,0.596939,YES,0.551175,ABSTAIN,ABSTAIN,,none,,,Aucun signal ne respecte les seuils V18.3.2.,,
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7800,2017-10-10T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Australia,Syria,2,1,TEAM_A_WIN,YES,YES,YES,DRAW,0.415604,NO,0.501848,NO,0.538983,NO,0.540207,ABSTAIN,ABSTAIN,,none,,,Aucun signal ne respecte les seuils V18.3.2.,,
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7801,2017-10-10T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Belgium,Cyprus,4,0,TEAM_A_WIN,YES,YES,NO,TEAM_A_WIN,0.837741,YES,0.767084,YES,0.646843,NO,0.625757,STRICT_1X2,TEAM_A_WIN,0.837741,medium,TEAM_A_WIN,True,1X2 non-DRAW avec confiance >= 0.76,,
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7802,2017-10-10T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Brazil,Chile,3,0,TEAM_A_WIN,YES,YES,NO,TEAM_A_WIN,0.62951,YES,0.537792,NO,0.558297,NO,0.531627,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.937449,low,TEAM_A_WIN,True,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,TEAM_B_WIN,0.062551
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7803,2017-10-10T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Ecuador,Argentina,1,3,TEAM_B_WIN,YES,YES,YES,TEAM_B_WIN,0.459045,NO,0.510793,NO,0.59248,YES,0.547255,ABSTAIN,ABSTAIN,,none,,,Aucun signal ne respecte les seuils V18.3.2.,,
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7804,2017-10-10T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Estonia,Bosnia and Herzegovina,1,2,TEAM_B_WIN,YES,YES,YES,TEAM_B_WIN,0.528516,YES,0.529991,NO,0.539068,YES,0.60553,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.868165,low,TEAM_B_WIN,True,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,TEAM_A_WIN,0.131835
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7805,2017-10-10T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,France,Belarus,2,1,TEAM_A_WIN,YES,YES,YES,TEAM_A_WIN,0.848964,YES,0.840308,YES,0.695026,NO,0.645021,STRICT_1X2,TEAM_A_WIN,0.848964,medium,TEAM_A_WIN,True,1X2 non-DRAW avec confiance >= 0.76,,
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7806,2017-10-10T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Greece,Gibraltar,4,0,TEAM_A_WIN,YES,YES,NO,TEAM_A_WIN,0.915606,YES,0.958114,YES,0.913375,NO,0.72565,STRICT_1X2,TEAM_A_WIN,0.915606,low,TEAM_A_WIN,True,1X2 non-DRAW avec confiance >= 0.76,,
v18_3_2_s760_o15780_o25680_b750_dc150_capnone_reference_order_btts1,7807,2017-10-10T00:00:00+02:00,2017,WCQ,FIFA World Cup qualification,Honduras,Mexico,3,2,TEAM_A_WIN,YES,YES,YES,TEAM_B_WIN,0.530486,NO,0.566707,NO,0.62494,YES,0.546081,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.920287,low,TEAM_A_WIN,False,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,TEAM_A_WIN,0.079713
