match_id,utc_date,competition_code,stage,group_name,home_team,away_team,dynamic_status,selector_status,selected_market,selected_prediction,selected_confidence,risk_level,unavailable_reason,abstention_reason,1x2_prediction,1x2_max_probability,1x2_prob_team_a_win,1x2_prob_draw,1x2_prob_team_b_win,over_1_5_prediction,over_1_5_prob_yes,over_2_5_prediction,over_2_5_max_probability,btts_prediction,btts_prob_no,double_chance_excluded_outcome,double_chance_excluded_probability,double_chance_gap_to_threshold
537327,2026-06-11T19:00:00Z,WC,GROUP_STAGE,GROUP_A,Mexico,South Africa,computed,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.909843,low,,,TEAM_A_WIN,0.508336,0.508336,0.401507,0.090157,NO,0.453156,NO,0.59209,NO,0.521188,TEAM_B_WIN,0.090157,-0.059843
537328,2026-06-12T02:00:00Z,WC,GROUP_STAGE,GROUP_A,South Korea,Czechia,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 sous seuil 0.76 | OVER_1_5 YES sous seuil 0.78 | OVER_2_5 sous seuil 0.70 | BTTS NO sous seuil 0.75 | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,TEAM_A_WIN,0.521751,0.521751,0.307979,0.170269,YES,0.52301,NO,0.529753,NO,0.512861,TEAM_B_WIN,0.170269,0.020269
537333,2026-06-12T19:00:00Z,WC,GROUP_STAGE,GROUP_B,Canada,Bosnia-Herzegovina,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS NO sous seuil 0.75 | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.401979,0.395771,0.401979,0.202251,NO,0.442373,NO,0.565809,NO,0.502685,TEAM_B_WIN,0.202251,0.052251
537345,2026-06-13T01:00:00Z,WC,GROUP_STAGE,GROUP_D,United States,Paraguay,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS NO sous seuil 0.75 | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.446292,0.362673,0.446292,0.191035,NO,0.408774,NO,0.60459,NO,0.510478,TEAM_B_WIN,0.191035,0.041035
537334,2026-06-13T19:00:00Z,WC,GROUP_STAGE,GROUP_B,Qatar,Switzerland,computed,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.906261,low,,,TEAM_B_WIN,0.628884,0.093739,0.277377,0.628884,NO,0.472388,YES,0.507349,NO,0.513365,TEAM_A_WIN,0.093739,-0.056261
537339,2026-06-13T22:00:00Z,WC,GROUP_STAGE,GROUP_C,Brazil,Morocco,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 sous seuil 0.76 | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,TEAM_B_WIN,0.433866,0.169959,0.396175,0.433866,NO,0.447871,NO,0.511507,YES,0.375189,TEAM_A_WIN,0.169959,0.019959
537340,2026-06-14T01:00:00Z,WC,GROUP_STAGE,GROUP_C,Haiti,Scotland,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 sous seuil 0.76 | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,TEAM_B_WIN,0.460965,0.167461,0.371574,0.460965,NO,0.432998,YES,0.500537,YES,0.448949,TEAM_A_WIN,0.167461,0.017461
537346,2026-06-14T04:00:00Z,WC,GROUP_STAGE,GROUP_D,Australia,Turkey,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS NO sous seuil 0.75 | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.415927,0.30761,0.415927,0.276463,NO,0.443768,NO,0.596909,NO,0.513377,TEAM_B_WIN,0.276463,0.126463
537351,2026-06-14T17:00:00Z,WC,GROUP_STAGE,GROUP_E,Germany,Curaçao,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 sous seuil 0.76 | OVER_1_5 YES sous seuil 0.78 | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,TEAM_A_WIN,0.467461,0.467461,0.378574,0.153965,YES,0.647731,YES,0.551098,YES,0.45575,TEAM_B_WIN,0.153965,0.003965
537357,2026-06-14T20:00:00Z,WC,GROUP_STAGE,GROUP_F,Netherlands,Japan,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 YES sous seuil 0.78 | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.384999,0.256098,0.384999,0.358903,YES,0.564367,YES,0.51811,YES,0.353278,TEAM_A_WIN,0.256098,0.106098
