match_id,utc_date,competition_code,stage,group_name,home_team,away_team,dynamic_status,unavailable_reason,transition,v18_3_3_status,v18_3_3_market,v18_3_3_prediction,v18_3_3_confidence,v18_3_3_risk_level,v18_3_3_rule,v18_3_4_status,v18_3_4_market,v18_3_4_prediction,v18_3_4_confidence,v18_3_4_risk_level,v18_3_4_rule,1x2_prediction,1x2_max_probability,1x2_prob_team_a_win,1x2_prob_draw,1x2_prob_team_b_win,over_1_5_prediction,over_1_5_prob_yes,over_2_5_prediction,over_2_5_max_probability,btts_prediction,btts_prob_no,dc015_excluded_outcome,dc015_excluded_probability,dc018_excluded_outcome,dc018_excluded_probability
537327,2026-06-11T19:00:00Z,WC,GROUP_STAGE,GROUP_A,Mexico,South Africa,computed,,SAME_RECOMMENDATION,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.909843,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.909843,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.508336,0.508336,0.401507,0.090157,NO,0.453156,NO,0.59209,NO,0.521188,TEAM_B_WIN,0.090157,TEAM_B_WIN,0.090157
537328,2026-06-12T02:00:00Z,WC,GROUP_STAGE,GROUP_A,South Korea,Czechia,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.829731,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.521751,0.521751,0.307979,0.170269,YES,0.52301,NO,0.529753,NO,0.512861,TEAM_B_WIN,0.170269,TEAM_B_WIN,0.170269
537333,2026-06-12T19:00:00Z,WC,GROUP_STAGE,GROUP_B,Canada,Bosnia-Herzegovina,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.401979,0.395771,0.401979,0.202251,NO,0.442373,NO,0.565809,NO,0.502685,TEAM_B_WIN,0.202251,TEAM_B_WIN,0.202251
537345,2026-06-13T01:00:00Z,WC,GROUP_STAGE,GROUP_D,United States,Paraguay,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.446292,0.362673,0.446292,0.191035,NO,0.408774,NO,0.60459,NO,0.510478,TEAM_B_WIN,0.191035,TEAM_B_WIN,0.191035
537334,2026-06-13T19:00:00Z,WC,GROUP_STAGE,GROUP_B,Qatar,Switzerland,computed,,SAME_RECOMMENDATION,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.906261,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.15,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.906261,low,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.628884,0.093739,0.277377,0.628884,NO,0.472388,YES,0.507349,NO,0.513365,TEAM_A_WIN,0.093739,TEAM_A_WIN,0.093739
537339,2026-06-13T22:00:00Z,WC,GROUP_STAGE,GROUP_C,Brazil,Morocco,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.830041,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.433866,0.169959,0.396175,0.433866,NO,0.447871,NO,0.511507,YES,0.375189,TEAM_A_WIN,0.169959,TEAM_A_WIN,0.169959
537340,2026-06-14T01:00:00Z,WC,GROUP_STAGE,GROUP_C,Haiti,Scotland,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.832539,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.460965,0.167461,0.371574,0.460965,NO,0.432998,YES,0.500537,YES,0.448949,TEAM_A_WIN,0.167461,TEAM_A_WIN,0.167461
537346,2026-06-14T04:00:00Z,WC,GROUP_STAGE,GROUP_D,Australia,Turkey,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.415927,0.30761,0.415927,0.276463,NO,0.443768,NO,0.596909,NO,0.513377,TEAM_B_WIN,0.276463,TEAM_B_WIN,0.276463
537351,2026-06-14T17:00:00Z,WC,GROUP_STAGE,GROUP_E,Germany,Curaçao,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.846035,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.467461,0.467461,0.378574,0.153965,YES,0.647731,YES,0.551098,YES,0.45575,TEAM_B_WIN,0.153965,TEAM_B_WIN,0.153965
537357,2026-06-14T20:00:00Z,WC,GROUP_STAGE,GROUP_F,Netherlands,Japan,computed,,SAME_ABSTENTION,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,ABSTAIN,ABSTAIN,ABSTAIN,,,Aucun signal ne respecte les seuils V18.3.4 dc018.,DRAW,0.384999,0.256098,0.384999,0.358903,YES,0.564367,YES,0.51811,YES,0.353278,TEAM_A_WIN,0.256098,TEAM_A_WIN,0.256098
