match_id,utc_date,competition_code,stage,group_name,home_team,away_team,dynamic_status,unavailable_reason,transition,v18_3_3_status,v18_3_3_market,v18_3_3_prediction,v18_3_3_confidence,v18_3_3_risk_level,v18_3_3_rule,v18_3_4_status,v18_3_4_market,v18_3_4_prediction,v18_3_4_confidence,v18_3_4_risk_level,v18_3_4_rule,1x2_prediction,1x2_max_probability,1x2_prob_team_a_win,1x2_prob_draw,1x2_prob_team_b_win,over_1_5_prediction,over_1_5_prob_yes,over_2_5_prediction,over_2_5_max_probability,btts_prediction,btts_prob_no,dc015_excluded_outcome,dc015_excluded_probability,dc018_excluded_outcome,dc018_excluded_probability
537328,2026-06-12T02:00:00Z,WC,GROUP_STAGE,GROUP_A,South Korea,Czechia,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.829731,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.521751,0.521751,0.307979,0.170269,YES,0.52301,NO,0.529753,NO,0.512861,TEAM_B_WIN,0.170269,TEAM_B_WIN,0.170269
537339,2026-06-13T22:00:00Z,WC,GROUP_STAGE,GROUP_C,Brazil,Morocco,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.830041,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.433866,0.169959,0.396175,0.433866,NO,0.447871,NO,0.511507,YES,0.375189,TEAM_A_WIN,0.169959,TEAM_A_WIN,0.169959
537340,2026-06-14T01:00:00Z,WC,GROUP_STAGE,GROUP_C,Haiti,Scotland,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.832539,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.460965,0.167461,0.371574,0.460965,NO,0.432998,YES,0.500537,YES,0.448949,TEAM_A_WIN,0.167461,TEAM_A_WIN,0.167461
537351,2026-06-14T17:00:00Z,WC,GROUP_STAGE,GROUP_E,Germany,Curaçao,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.846035,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.467461,0.467461,0.378574,0.153965,YES,0.647731,YES,0.551098,YES,0.45575,TEAM_B_WIN,0.153965,TEAM_B_WIN,0.153965
537392,2026-06-16T22:00:00Z,WC,GROUP_STAGE,GROUP_I,Iraq,Norway,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.824758,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.447164,0.175242,0.377594,0.447164,YES,0.614968,YES,0.572464,YES,0.444031,TEAM_A_WIN,0.175242,TEAM_A_WIN,0.175242
537336,2026-06-18T22:00:00Z,WC,GROUP_STAGE,GROUP_B,Canada,Qatar,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.832875,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.47388,0.47388,0.358996,0.167125,YES,0.538604,NO,0.526845,NO,0.533121,TEAM_B_WIN,0.167125,TEAM_B_WIN,0.167125
537399,2026-06-22T17:00:00Z,WC,GROUP_STAGE,GROUP_J,Argentina,Austria,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.83591,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.482471,0.482471,0.353439,0.16409,YES,0.538214,NO,0.543839,NO,0.536789,TEAM_B_WIN,0.16409,TEAM_B_WIN,0.16409
537394,2026-06-23T00:00:00Z,WC,GROUP_STAGE,GROUP_I,Norway,Senegal,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.83648,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,DRAW,0.426325,0.16352,0.426325,0.410155,YES,0.567602,NO,0.546622,YES,0.338109,TEAM_A_WIN,0.16352,TEAM_A_WIN,0.16352
537400,2026-06-23T03:00:00Z,WC,GROUP_STAGE,GROUP_J,Jordan,Algeria,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.834782,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.443723,0.165218,0.391058,0.443723,NO,0.44102,NO,0.523354,YES,0.38982,TEAM_A_WIN,0.165218,TEAM_A_WIN,0.165218
537411,2026-06-23T20:00:00Z,WC,GROUP_STAGE,GROUP_L,England,Ghana,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.82538,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,DRAW,0.429473,0.395908,0.429473,0.17462,NO,0.459524,NO,0.545419,YES,0.376407,TEAM_B_WIN,0.17462,TEAM_B_WIN,0.17462
537406,2026-06-24T02:00:00Z,WC,GROUP_STAGE,GROUP_K,Colombia,Congo DR,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.84738,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.425241,0.15262,0.422139,0.425241,NO,0.463816,NO,0.590416,YES,0.471695,TEAM_A_WIN,0.15262,TEAM_A_WIN,0.15262
537344,2026-06-24T22:00:00Z,WC,GROUP_STAGE,GROUP_C,Morocco,Haiti,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,TEAM_A_OR_DRAW,0.845603,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_A_WIN,0.480685,0.480685,0.364918,0.154397,NO,0.468109,YES,0.505092,YES,0.408571,TEAM_B_WIN,0.154397,TEAM_B_WIN,0.154397
537343,2026-06-24T22:00:00Z,WC,GROUP_STAGE,GROUP_C,Scotland,Brazil,computed,,ABSTAIN_TO_RECOMMEND,ABSTAIN,ABSTAIN,ABSTAIN,,none,Aucun signal ne respecte les seuils V18.3.3 strict reliability.,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.833042,medium,DOUBLE_CHANCE si probabilite de l'issue exclue <= 0.18,TEAM_B_WIN,0.485901,0.166958,0.347141,0.485901,YES,0.519723,NO,0.53696,YES,0.39993,TEAM_A_WIN,0.166958,TEAM_A_WIN,0.166958
